age,income_level,commute_distance_km,access_to_public_transport,environmental_concern,nudge_type,mode_before,habit_strength,risk_aversion_score,social_conformity_level,tech_comfort,switched_to_public_transport
56,medium,20.5,yes,high,loss_framing,car,medium,3,low,yes,0
46,low,8.2,yes,low,social_norm,car,high,3,high,yes,1
32,low,19.0,no,medium,loss_framing,public_transport,medium,4,low,yes,0
60,medium,4.3,yes,low,default,car,high,3,high,yes,1
25,low,2.3,yes,high,social_norm,car,medium,1,high,no,1
38,medium,7.6,yes,medium,social_norm,car,medium,1,high,yes,1
56,low,48.2,yes,high,none,public_transport,high,3,high,no,0
36,medium,27.9,yes,low,default,car,low,3,low,yes,1
40,medium,48.3,yes,medium,none,car,medium,5,medium,yes,0
28,low,22.2,no,medium,none,car,high,2,medium,yes,0
28,medium,16.3,yes,medium,social_norm,car,medium,4,low,yes,0
41,low,25.8,yes,high,social_norm,car,medium,1,low,yes,0
53,low,22.5,yes,high,loss_framing,public_transport,medium,4,high,yes,0
57,high,6.2,no,high,loss_framing,car,high,5,medium,yes,0
41,medium,32.4,yes,high,default,public_transport,high,1,medium,no,0
20,high,11.6,yes,low,none,car,medium,5,high,no,0
39,low,31.4,yes,low,default,car,medium,5,medium,yes,1
19,medium,32.9,yes,high,social_norm,public_transport,high,3,medium,no,0
41,medium,8.4,yes,low,loss_framing,car,low,4,high,yes,1
61,medium,4.0,yes,high,loss_framing,public_transport,low,4,low,yes,0
47,medium,39.3,yes,high,loss_framing,car,high,3,medium,yes,0
55,medium,23.5,yes,medium,default,public_transport,high,4,high,yes,0
19,medium,3.9,yes,high,social_norm,car,high,3,high,yes,1
38,high,49.7,yes,medium,loss_framing,car,medium,1,high,no,0
50,high,3.8,yes,medium,social_norm,car,low,5,medium,yes,1
29,high,35.1,no,low,default,car,medium,5,high,yes,0
39,low,49.2,no,medium,loss_framing,car,low,4,low,no,1
61,medium,12.7,yes,low,default,car,low,2,low,yes,1
42,high,8.0,no,medium,loss_framing,car,high,5,medium,yes,0
44,low,6.9,yes,high,none,car,low,3,medium,yes,1
59,low,15.9,yes,high,none,public_transport,high,2,low,yes,0
45,medium,6.0,yes,low,loss_framing,car,medium,2,medium,yes,0
33,medium,34.9,yes,medium,none,car,medium,5,low,yes,0
32,high,4.1,yes,high,none,car,low,5,medium,yes,1
64,low,26.0,yes,low,default,car,medium,5,high,no,1
61,medium,49.8,yes,low,default,car,low,3,medium,no,1
20,low,40.9,yes,low,social_norm,car,high,2,low,yes,0
54,low,31.1,yes,medium,none,public_transport,high,4,medium,yes,0
24,low,16.0,yes,low,none,public_transport,medium,3,medium,yes,0
38,high,31.6,yes,high,none,car,low,1,medium,no,0
26,medium,26.8,yes,medium,social_norm,car,high,5,medium,yes,0
56,medium,21.9,no,medium,default,car,medium,2,medium,yes,0
35,medium,7.4,no,low,loss_framing,car,low,3,high,no,0
21,high,44.4,yes,medium,none,car,medium,1,low,no,0
42,medium,23.0,no,medium,social_norm,car,high,3,medium,yes,1
31,high,10.5,yes,high,loss_framing,car,low,3,medium,yes,1
26,medium,19.0,no,high,loss_framing,car,low,4,medium,yes,1
43,medium,21.3,yes,medium,social_norm,car,high,4,low,yes,0
19,medium,41.5,yes,high,social_norm,public_transport,low,3,low,yes,0
37,medium,36.9,yes,high,none,car,low,1,low,yes,1
45,medium,38.7,yes,high,none,public_transport,medium,2,high,yes,0
64,medium,1.5,yes,low,default,public_transport,high,2,high,yes,0
24,low,21.4,yes,low,none,car,medium,5,medium,yes,0
61,high,24.6,yes,low,none,car,high,5,high,yes,0
25,medium,1.9,yes,medium,none,car,medium,2,low,yes,0
64,medium,13.7,yes,medium,none,public_transport,low,3,high,no,0
52,high,38.3,no,medium,loss_framing,public_transport,high,3,medium,yes,0
31,medium,7.7,yes,high,default,car,medium,4,medium,yes,1
34,low,27.2,yes,high,loss_framing,car,low,4,high,yes,1
53,high,11.5,yes,high,loss_framing,public_transport,medium,5,high,yes,0
57,medium,1.6,yes,medium,social_norm,car,medium,2,high,yes,1
21,medium,12.8,yes,medium,social_norm,public_transport,low,3,low,no,0
19,low,48.8,no,low,default,public_transport,low,2,high,yes,0
23,medium,40.3,yes,low,default,car,medium,1,high,no,1
59,medium,48.0,yes,low,none,car,high,2,medium,yes,0
21,medium,24.9,no,medium,default,car,medium,1,low,yes,0
46,high,6.4,yes,medium,loss_framing,car,high,4,low,no,0
35,medium,27.9,yes,high,default,car,low,4,high,yes,1
43,low,23.3,yes,low,loss_framing,public_transport,low,5,medium,yes,0
61,medium,42.4,yes,high,default,public_transport,low,2,medium,yes,0
51,low,5.8,yes,medium,default,public_transport,low,2,low,yes,0
27,medium,24.9,yes,low,none,car,low,1,low,no,0
53,low,8.4,yes,medium,social_norm,public_transport,high,4,medium,no,0
31,medium,16.9,no,low,default,public_transport,high,1,medium,no,0
48,medium,37.1,yes,medium,default,car,high,4,high,yes,1
65,high,24.3,yes,medium,none,car,low,1,medium,yes,1
32,medium,19.4,yes,low,social_norm,car,high,4,high,yes,1
25,high,20.3,yes,low,loss_framing,public_transport,medium,1,low,no,0
31,low,23.5,yes,medium,none,car,low,4,low,yes,1
40,high,39.5,yes,high,loss_framing,public_transport,high,1,medium,yes,0
57,low,44.7,no,medium,none,car,medium,2,medium,no,0
38,medium,47.8,yes,high,default,public_transport,low,5,low,yes,0
33,medium,39.6,yes,medium,loss_framing,car,medium,1,high,yes,0
62,low,16.5,yes,high,default,car,low,5,medium,no,1
35,low,34.7,yes,high,none,car,high,2,low,yes,1
64,medium,22.4,yes,medium,loss_framing,car,medium,2,low,yes,0
41,medium,13.5,yes,medium,none,public_transport,high,4,low,yes,0
43,medium,42.2,yes,high,none,car,low,5,high,yes,1
42,medium,2.9,yes,medium,none,car,medium,3,low,no,1
62,medium,45.2,no,medium,none,car,medium,4,medium,yes,0
58,low,23.6,no,low,social_norm,car,medium,5,medium,yes,1
46,medium,32.2,yes,high,loss_framing,car,medium,1,low,yes,0
32,low,33.3,no,high,loss_framing,car,high,1,low,no,0
62,high,44.9,yes,low,loss_framing,public_transport,high,2,low,yes,0
18,medium,32.2,no,medium,default,car,high,3,medium,yes,0
42,medium,31.1,yes,medium,default,public_transport,high,1,low,yes,0
24,medium,4.3,no,low,loss_framing,public_transport,high,5,low,yes,0
26,high,26.4,no,high,loss_framing,car,medium,5,high,yes,1
41,low,8.4,yes,low,none,car,high,1,low,yes,0
18,medium,37.1,no,low,default,car,medium,5,high,yes,0
61,medium,26.1,yes,medium,none,public_transport,medium,5,high,yes,0
25,medium,34.3,yes,high,loss_framing,public_transport,medium,2,medium,no,0
41,low,3.0,yes,low,loss_framing,car,medium,3,medium,yes,1
28,high,5.2,yes,medium,loss_framing,public_transport,low,2,low,yes,0
34,high,36.1,yes,medium,none,car,high,3,high,yes,0
25,medium,4.5,yes,low,default,public_transport,medium,5,medium,no,0
52,medium,4.5,no,low,none,public_transport,low,3,medium,no,0
52,high,1.6,yes,medium,social_norm,car,medium,5,low,yes,0
50,medium,47.9,yes,low,none,car,low,5,high,no,1
22,low,37.1,no,high,none,car,low,2,low,yes,1
59,medium,18.3,no,high,default,car,low,2,medium,yes,1
56,medium,15.5,no,high,none,public_transport,medium,4,medium,yes,0
58,medium,18.1,yes,low,default,car,medium,1,low,no,1
45,medium,39.0,no,high,social_norm,car,high,4,medium,yes,0
24,high,33.4,yes,medium,none,car,high,4,high,no,0
26,high,10.1,yes,medium,default,public_transport,medium,3,high,yes,0
25,medium,9.5,yes,low,none,car,medium,5,high,yes,0
29,low,5.8,yes,low,default,car,medium,5,medium,yes,1
51,high,33.4,yes,medium,none,car,high,5,medium,no,0
50,high,38.5,yes,medium,default,public_transport,low,1,low,yes,0
65,low,14.0,yes,low,none,public_transport,low,3,medium,yes,0
40,high,2.0,yes,medium,social_norm,car,high,3,low,yes,0
41,high,5.0,yes,low,default,car,medium,5,medium,no,1
54,medium,48.4,yes,medium,default,car,low,4,medium,yes,1
52,medium,15.5,yes,medium,default,car,low,1,medium,yes,1
61,medium,38.7,yes,high,default,car,high,4,medium,yes,1
57,low,31.6,yes,high,default,public_transport,high,2,high,no,0
39,medium,19.7,yes,medium,none,car,high,3,medium,no,1
44,high,11.1,no,medium,loss_framing,public_transport,medium,3,high,no,0
52,low,6.9,yes,medium,loss_framing,car,medium,4,high,yes,1
18,medium,31.1,yes,high,loss_framing,public_transport,high,1,medium,yes,0
52,medium,39.0,yes,medium,loss_framing,public_transport,high,3,medium,no,0
54,medium,32.6,yes,low,social_norm,car,low,4,low,yes,1
64,high,27.0,no,low,none,car,high,1,high,yes,0
31,medium,3.1,yes,medium,social_norm,car,low,4,medium,yes,1
20,medium,48.5,yes,medium,none,car,low,1,high,no,0
18,medium,40.1,yes,high,loss_framing,car,medium,5,medium,yes,1
22,medium,15.3,yes,low,social_norm,car,medium,1,high,yes,1
43,low,49.0,yes,medium,default,public_transport,high,2,high,no,0
31,medium,30.5,yes,high,social_norm,car,low,5,medium,yes,1
56,low,29.5,yes,high,social_norm,public_transport,medium,4,low,yes,0
44,low,37.7,yes,medium,none,car,high,5,medium,no,0
26,medium,40.8,yes,medium,social_norm,public_transport,high,5,medium,no,0
32,medium,33.2,no,medium,none,car,low,4,low,no,0
32,high,7.3,no,high,loss_framing,public_transport,medium,4,high,yes,0
43,medium,17.6,yes,low,loss_framing,car,medium,2,medium,yes,0
59,medium,46.5,yes,high,none,car,low,4,high,no,0
30,medium,12.0,yes,medium,loss_framing,car,high,3,high,yes,0
49,low,19.2,yes,medium,default,car,high,3,medium,no,1
56,medium,22.2,yes,low,default,car,low,2,high,no,1
49,low,22.5,no,medium,loss_framing,car,low,1,medium,yes,1
21,high,31.0,no,medium,none,car,low,1,high,no,0
47,low,47.2,yes,low,none,public_transport,high,3,medium,no,0
54,medium,12.8,yes,medium,loss_framing,car,low,4,medium,yes,1
40,low,7.0,yes,high,default,car,medium,2,medium,yes,1
56,high,10.7,yes,medium,none,public_transport,medium,1,medium,yes,0
62,medium,44.5,yes,high,default,car,medium,1,medium,yes,1
32,medium,32.6,yes,low,none,car,low,5,medium,yes,1
60,low,15.0,yes,medium,default,car,low,3,medium,yes,1
46,medium,41.0,yes,low,loss_framing,public_transport,high,4,high,no,0
53,low,43.2,yes,medium,default,public_transport,high,2,medium,no,0
30,high,42.5,no,high,loss_framing,public_transport,high,1,medium,yes,0
49,low,46.0,yes,medium,social_norm,car,low,5,medium,yes,1
24,low,13.4,yes,low,none,public_transport,medium,3,high,yes,0
39,low,38.0,yes,medium,none,car,medium,3,high,no,0
45,medium,23.6,yes,medium,default,car,low,2,medium,yes,1
19,medium,42.3,yes,medium,default,car,high,1,low,yes,1
59,low,36.7,yes,high,default,car,medium,2,medium,no,1
62,medium,39.0,no,high,social_norm,car,low,2,medium,yes,1
23,medium,33.2,yes,medium,default,car,high,5,high,no,1
45,medium,9.7,no,medium,none,car,high,3,medium,no,0
45,medium,27.7,yes,low,loss_framing,car,low,4,high,no,1
61,medium,49.2,yes,low,loss_framing,public_transport,medium,3,medium,yes,0
61,medium,46.9,yes,medium,social_norm,car,medium,3,high,yes,1
